Województwo;2016;2017;2018;2019;2020;2021
DOLNOŚLĄSKIE;504;536;480;518;433;470
KUJAWSKO-POMORSKIE;278;278;205;257;241;253
LUBELSKIE;249;195;197;205;165;144
LUBUSKIE;130;145;103;124;113;118
ŁÓDZKIE;240;247;220;233;249;288
MAŁOPOLSKIE;637;621;596;745;693;683
MAZOWIECKIE;1 205;1 112;1 058;1 169;933;1 023
OPOLSKIE;185;165;149;143;116;112
PODKARPACKIE;288;245;234;249;214;205
PODLASKIE;151;145;102;113;113;106
POMORSKIE;352;365;317;393;357;418
ŚLĄSKIE;613;560;463;571;440;459
ŚWIĘTOKRZYSKIE;152;146;115;130;117;101
WARMIŃSKO-MAZURSKIE;208;174;170;209;162;178
WIELKOPOLSKIE;487;439;386;498;394;375
ZACHODNIOPOMORSKIE;238;227;239;280;230;258
